District,Year,Season,Unemployment_Rate,Average_Income,Education_Level,Population_Density,Police_Presence,Crime_Rate
District_7,2015,Winter,3.26,32197.0,13.3,2716.0,Low,23.89
District_20,2019,Spring,9.24,53627.0,8.3,1715.0,High,26.58
District_15,2017,Fall,11.16,39358.0,12.8,2710.0,Low,54.59
District_11,2019,Fall,4.03,69395.0,10.3,4773.0,Low,36.3
District_8,2022,Fall,8.53,67099.0,12.1,1801.0,Low,46.71
District_7,2023,Winter,11.92,73495.0,16.6,4970.0,Low,45.05
District_19,2023,Fall,14.83,53776.0,15.7,1532.0,Low,53.79
District_11,2021,Fall,11.01,41125.0,10.4,1436.0,Low,49.21
District_11,2014,Spring,5.94,56364.0,17.8,2952.0,High,20.8
District_4,2021,Spring,11.6,25348.0,17.0,4289.0,Low,56.88
District_8,2022,Fall,10.18,20575.0,13.3,3873.0,Low,60.21
District_3,2019,Fall,5.54,21026.0,13.3,3756.0,Low,37.0
District_2,2023,Spring,13.21,44453.0,17.0,1772.0,High,34.48
District_12,2018,Summer,8.13,33685.0,14.4,601.0,High,34.18
District_6,2019,Winter,14.54,29440.0,13.4,1228.0,Low,49.07
District_2,2019,Winter,11.67,56920.0,15.5,2073.0,Low,42.34
District_1,2022,Spring,10.73,79706.0,10.4,4873.0,High,39.79
District_12,2017,Winter,11.74,30665.0,16.8,4639.0,Low,55.2
District_12,2015,Spring,8.74,52785.0,13.3,1403.0,High,26.23
District_17,2024,Spring,9.06,27184.0,14.0,3765.0,Low,48.25
District_10,2024,Spring,13.21,76054.0,8.9,3106.0,Low,61.52
District_16,2022,Spring,11.17,37505.0,11.1,724.0,High,40.24
District_15,2015,Summer,13.77,72700.0,12.3,2173.0,Low,67.67
District_15,2023,Fall,13.69,36985.0,12.1,2687.0,High,54.34
District_19,2022,Fall,14.72,68363.0,15.8,3504.0,Low,62.72
District_12,2015,Summer,11.4,32563.0,10.8,1827.0,High,46.8
District_20,2021,Winter,9.03,37567.0,9.8,4702.0,Low,54.74
District_3,2022,Winter,5.0,31549.0,13.8,2533.0,High,18.88
District_5,2023,Fall,11.46,35856.0,14.2,1618.0,Low,37.89
District_19,2022,Winter,6.5,70092.0,9.2,1924.0,Low,31.66
District_7,2023,Fall,6.4,58342.0,8.0,3883.0,High,38.66
District_9,2022,Fall,5.86,44353.0,17.2,3381.0,High,20.5
District_7,2015,Summer,13.5,78291.0,8.8,3840.0,High,56.53
District_18,2017,Winter,13.42,47892.0,17.0,1816.0,High,32.4
District_4,2020,Summer,10.57,78186.0,12.0,1971.0,Low,54.69
District_14,2015,Fall,8.68,31795.0,14.5,2285.0,Low,46.44
District_18,2014,Fall,11.07,74278.0,9.9,1349.0,High,35.71
District_9,2016,Fall,10.29,20829.0,16.2,3610.0,Low,45.53
District_2,2017,Spring,7.99,52718.0,9.8,1982.0,Low,32.38
District_20,2021,Spring,7.56,45383.0,11.9,1968.0,Low,46.45
District_15,2019,Spring,7.59,51505.0,10.4,1712.0,High,31.98
District_7,2024,Summer,10.07,53207.0,16.4,2538.0,High,37.23
District_12,2015,Fall,10.77,43342.0,16.6,3974.0,Low,53.54
District_8,2022,Winter,8.42,79892.0,11.7,4260.0,High,25.94
District_15,2015,Summer,14.62,78590.0,11.1,4120.0,High,46.05
District_3,2018,Summer,4.01,77705.0,15.7,3295.0,High,27.58
District_14,2017,Summer,7.16,78745.0,16.8,1762.0,High,30.3
District_17,2020,Winter,8.03,67581.0,14.2,3807.0,Low,32.47
District_4,2021,Fall,3.2,79315.0,17.3,677.0,Low,15.66
District_18,2018,Spring,7.38,73542.0,11.8,4092.0,High,28.8
District_8,2023,Fall,6.28,44956.0,9.5,4011.0,Low,55.71
District_4,2018,Fall,9.07,67087.0,9.8,3515.0,Low,54.39
District_2,2015,Summer,7.04,74724.0,14.7,941.0,Low,30.45
District_6,2021,Summer,11.71,62756.0,12.1,4988.0,Low,65.79
District_10,2015,Summer,9.12,45367.0,9.6,3904.0,Low,53.76
District_4,2023,Spring,4.56,23947.0,10.9,3807.0,Low,38.23
District_18,2019,Spring,12.0,68582.0,13.3,788.0,Low,40.56
District_12,2021,Spring,4.19,77165.0,9.2,2294.0,High,17.53
District_2,2019,Fall,13.07,41748.0,8.0,888.0,Low,48.24
District_10,2017,Summer,14.18,29114.0,17.2,2125.0,Low,66.91
District_4,2017,Winter,6.87,39590.0,11.0,3067.0,Low,37.44
District_14,2019,Fall,14.11,54957.0,10.2,4455.0,High,62.96
District_16,2017,Spring,12.52,39016.0,15.0,1773.0,High,38.94
District_15,2021,Winter,14.07,56637.0,16.5,3305.0,High,29.72
District_8,2022,Winter,11.0,78011.0,14.3,1241.0,Low,37.31
District_14,2014,Summer,5.83,60244.0,10.5,2093.0,Low,42.57
District_8,2017,Winter,13.73,41760.0,16.6,4763.0,High,41.42
District_16,2017,Spring,5.21,76145.0,13.1,3864.0,Low,40.12
District_13,2015,Summer,5.56,53938.0,11.8,2956.0,High,26.14
District_18,2019,Winter,6.25,27702.0,14.0,1633.0,Low,34.23
District_15,2016,Summer,6.65,49939.0,15.0,2209.0,Low,44.35
District_13,2020,Winter,9.17,59218.0,13.9,1205.0,High,21.89
District_9,2024,Fall,11.56,70295.0,17.2,2091.0,High,25.04
District_15,2024,Fall,14.11,76189.0,14.3,1178.0,High,42.8
District_13,2018,Spring,4.06,39045.0,16.8,4079.0,Low,37.47
District_1,2017,Fall,14.45,29331.0,13.9,863.0,Low,56.78
District_7,2018,Fall,14.06,24430.0,11.3,1352.0,Low,58.96
District_9,2021,Fall,3.65,64301.0,13.3,3610.0,High,16.34
District_1,2016,Winter,7.32,67709.0,8.9,4561.0,Low,34.37
